Iteration,Duration_Seconds
1,4.5855
2,0.0375
3,0.0372
4,0.0380
5,0.0373
6,0.0366
7,0.0362
8,0.0366
9,0.0373
10,0.0363
11,0.0366
12,0.0360
13,0.0368
14,0.0373
15,0.0367
16,0.0374
17,0.0369
18,0.0361
19,0.0363
20,0.0369
21,0.0360
22,0.0366
23,0.0357
24,0.0367
25,0.0370
26,0.0365
27,0.0369
28,0.0356
29,0.0371
30,0.0367
31,0.0375
32,0.0363
33,0.0357
34,0.0368
35,0.0367
36,0.0364
37,0.0359
38,0.0363
39,0.0366
40,0.0364
41,0.0356
42,0.0359
43,0.0368
44,0.0370
45,0.0367
46,0.0370
47,0.0363
48,0.0365
49,0.0366
50,0.0363
51,0.0364
52,0.0363
53,0.0362
54,0.0367
55,0.0361
56,0.0373
57,0.0357
58,0.0352
59,0.0355
60,0.0363
61,0.0359
62,0.0361
63,0.0365
64,0.0362
65,0.0350
66,0.0348
67,0.0368
68,0.0360
69,0.0360
70,0.0350
71,0.0360
72,0.0361
73,0.0357
74,0.0364
75,0.0357
76,0.0355
77,0.0358
78,0.0351
79,0.0358
