n,eta,sigma_y,width,height,x_01,x_02,x_03,x_04,x_05,x_06,x_07,x_08,sim_seconds,sub_id,cluster_id
0.9685527793246447,15.746307107672985,0.15693373899346336,3.151804580382199,3.480842302087626,0.7877490520477295,2.1737778186798096,3.158132791519165,3.7299530506134033,4.099347114562988,4.370378494262695,4.582301139831543,4.756771087646484,3.911,11,6
0.7017510595008953,120.59533232042627,0.022083605177625597,3.3087943327762055,3.3539479712546645,0.45017337799072266,0.9799363613128662,1.4004504680633545,1.725379228591919,1.9836156368255615,2.1959116458892822,2.3748695850372314,2.5291664600372314,3.777,17,9
0.4604786464745136,63.2124476001048,43.86447482128789,3.6272731596589964,3.0551556470120036,0.7541043758392334,2.164515733718872,3.2134249210357666,3.739720106124878,3.9890525341033936,4.129094123840332,4.235069274902344,4.321724891662598,3.83,12,6
0.4156758581481333,67.68326347175902,243.97432002854012,3.6571030181787387,3.0744477070715597,0.5658292770385742,1.5029096603393555,2.1894760131835938,2.469231128692627,2.5447754859924316,2.580502510070801,2.6116318702697754,2.639949321746826,3.909,18,9
0.5892060803481203,284.5446207342107,6.432821019115841,3.841702632632666,3.224032365265406,0.3002190589904785,0.5048413276672363,0.6977291107177734,0.871650218963623,1.0296688079833984,1.1740550994873047,1.3058533668518066,1.4268646240234375,4.236,0,0
0.8000094929346797,17.56686452826829,1.1740547493394884,3.109475427023835,3.844971776034894,0.9055233001708984,2.7105765342712402,4.1157402992248535,4.888518810272217,5.296583652496338,5.557976245880127,5.7435078620910645,5.888455867767334,4.21,3,1
0.8237433432489814,10.090401779271996,188.52861352091136,3.053293955985528,3.7960616972730667,0.7671167850494385,2.3194711208343506,3.5905587673187256,4.278162956237793,4.536848068237305,4.621285438537598,4.651866912841797,4.668932914733887,4.1,12,6
0.5862500797140933,105.51673178291112,2.1934850454231363,3.8070147850151956,3.7713549389295147,0.6128036975860596,1.5908615589141846,2.34824538230896,2.808767557144165,3.1040289402008057,3.3241074085235596,3.5044796466827393,3.656675100326538,4.843,11,6
0.5399399266943175,142.11918743942167,17.47131213614801,3.122208545478762,3.4633791925654793,0.4987974166870117,1.1861763000488281,1.700209617614746,2.034970283508301,2.2730727195739746,2.4607748985290527,2.616685390472412,2.7489800453186035,3.917,17,9
0.4695226901809637,4.8068079614235835,0.0794998180812982,3.895198776285775,3.168899258353647,1.304767370223999,4.280316352844238,7.4368438720703125,9.781579971313477,10.893214225769043,11.077722549438477,11.104089736938477,11.206554412841797,4.356,2,1
0.5292491418695618,75.12884397364869,211.20115025083388,3.2825646799093704,3.211219984358994,0.5184457302093506,1.2993652820587158,1.8644568920135498,2.144732713699341,2.2864887714385986,2.3852169513702393,2.4639933109283447,2.530029535293579,3.802,18,9
0.7473248874778518,27.275387623575625,22.02633454386978,3.919071131888198,3.273317486741845,0.8069984912872314,2.2756683826446533,3.3554317951202393,3.962144136428833,4.323887825012207,4.57244873046875,4.761205673217773,4.913196563720703,4.501,12,6
0.7697644036749443,2.101894337029421,0.0070600261747487845,3.0227550685994555,3.9906612686524245,1.287416696548462,4.198583602905273,7.174614906311035,9.288033485412598,10.383085250854492,10.866169929504395,11.11330509185791,11.313070297241211,4.3,2,1
0.6865235617287435,28.846472826378033,1.3474335386092315,3.2366703885284664,3.2715131258674344,0.845186710357666,2.4433341026306152,3.6116480827331543,4.235483646392822,4.577383518218994,4.801682472229004,4.969820976257324,5.101373672485352,3.916,3,1
0.767453341646076,51.64629152580341,0.15920932701691393,3.1967553813691953,3.136328487458043,0.6116969585418701,1.5558547973632812,2.234468460083008,2.6486191749572754,2.9317784309387207,3.1522998809814453,3.3343567848205566,3.489168643951416,3.783,11,6
0.49659732838193743,12.009273668430735,0.006969455913465328,3.1810705045298797,3.6943036823778836,1.2043602466583252,3.8851940631866455,6.5326948165893555,8.336649894714355,9.152185440063477,9.419322967529297,9.54389476776123,9.65380573272705,4.281,2,1
0.7184769823494996,146.4722368404686,0.00453644551513022,3.598982849172465,3.107415129240086,0.3807485103607178,0.7612006664276123,1.0809686183929443,1.351039171218872,1.5790059566497803,1.7745258808135986,1.943734884262085,2.0916783809661865,4.0,17,9
0.711705939680547,21.185701662321296,0.0030443357500940186,3.1754441265934643,3.3923521785324726,0.9129564762115479,2.698002576828003,4.049715995788574,4.773056983947754,5.151070594787598,5.39334774017334,5.570896148681641,5.708430290222168,3.962,2,1
0.7085933750969255,3.622145422404477,114.28053058573589,3.6366685431032693,3.1902955938928907,0.9971585273742676,3.0885539054870605,4.9970550537109375,6.136863708496094,6.547735214233398,6.695808410644531,6.774171829223633,6.801176071166992,4.253,3,1
0.4179233000722851,20.44049855492647,0.010923842597466562,3.763044492889592,3.217453197892149,1.1515734195709229,3.6103947162628174,5.879366874694824,7.284635543823242,7.843554496765137,8.080977439880371,8.283390045166016,8.449860572814941,4.453,2,1
0.650235860313734,126.76076143012206,194.63852002098758,3.0825806816025536,3.0612775873566926,0.33330416679382324,0.6337742805480957,0.8656914234161377,1.0542974472045898,1.2110018730163574,1.343400478363037,1.4571614265441895,1.5565619468688965,3.59,1,0
