Iteration,Duration_Seconds
1,4.6962
2,0.0385
3,0.0373
4,0.0381
5,0.0375
6,0.0378
7,0.0382
8,0.0375
9,0.0372
10,0.0367
11,0.0384
12,0.0369
13,0.0370
14,0.0373
15,0.0388
16,0.0368
17,0.0373
18,0.0374
19,0.0365
20,0.0368
21,0.0346
22,0.0368
23,0.0364
24,0.0371
25,0.0368
26,0.0358
27,0.0371
28,0.0366
29,0.0358
30,0.0358
31,0.0354
32,0.0353
33,0.0367
34,0.0356
35,0.0358
36,0.0356
37,0.0354
38,0.0356
39,0.0350
40,0.0356
41,0.0379
42,0.0393
43,0.0374
44,0.0365
45,0.0368
46,0.0369
47,0.0361
48,0.0370
49,0.0360
50,0.0366
51,0.0369
52,0.0368
53,0.0359
54,0.0364
55,0.0366
56,0.0372
57,0.0356
58,0.0364
59,0.0354
60,0.0355
61,0.0366
62,0.0356
63,0.0366
64,0.0362
