frame_index,image,distance_cm,origin_projection_cm,far_projection_cm,far_x_cm,far_z_cm
1,config_01.png,1.4615730618778437,3.5000000000000004,4.961573061877845,4.961573061877845,1.8166862289110353
2,config_02.png,3.5213916270924877,3.5000000000000004,7.021391627092488,7.021391627092488,1.8103017255960778
3,config_03.png,5.603063144449397,3.5000000000000004,9.103063144449397,9.103063144449397,1.9127294911897963
4,config_04.png,7.268065645304647,3.5000000000000004,10.768065645304647,10.768065645304647,1.646642654201863
5,config_05.png,8.325649024904775,3.5000000000000004,11.825649024904775,11.825649024904775,1.478461347583024
6,config_06.png,8.9129336442978,3.5000000000000004,12.4129336442978,12.4129336442978,1.597754689426295
7,config_07.png,9.22388489840222,3.5000000000000004,12.723884898402222,12.723884898402222,1.5656578658696603
8,config_08.png,9.328819435863473,3.5000000000000004,12.828819435863473,12.828819435863473,1.7862823871206412
