cell_id,n,eta,sigma_y,width,height,x_01,x_02,x_03,x_04,x_05,x_06,x_07,x_08,sim_seconds
6,0.5340074378254096,4.2604165358024195,0.005576375306185265,2.9156972976111293,3.061535783984796,1.2556586265563965,4.060804843902588,6.973154544830322,9.008773803710938,9.92673110961914,10.14211654663086,10.213750839233398,10.312061309814453,3.558455467224121
6,0.48436895835672666,2.7343864803274673,0.008350420627156964,3.421387886815233,3.338221593691909,1.33439302444458,4.483304500579834,8.006351470947266,10.881491661071777,12.603311538696289,12.840158462524414,12.846673965454102,12.852155685424805,4.089319944381714
6,0.5584864515513598,3.7917832485976954,0.013887326439096204,2.356182017870121,2.8013488371596527,1.1987416744232178,3.8695859909057617,6.557284355163574,8.347660064697266,9.093262672424316,9.257243156433105,9.320918083190918,9.385403633117676,2.8802120685577393
6,0.46378228559392204,7.993053816044545,0.0180151556521478,3.1057060458948,2.1999998232527953,1.1216912269592285,3.4386024475097656,5.497864246368408,6.68893575668335,7.146155834197998,7.355984210968018,7.542269229888916,7.688424587249756,3.0065488815307617
6,0.5201770329998092,5.162402119918205,0.003237867073897378,2.1714477993171153,2.3668817185075604,1.124840259552002,3.5374886989593506,5.775019645690918,7.1268110275268555,7.632596969604492,7.772407531738281,7.849050521850586,7.907195091247559,2.55155086517334
6,0.5119551671257672,3.342949810604313,0.014506971421012304,3.575778094203426,2.9797569845483007,1.2971904277801514,4.231653213500977,7.351197242736816,9.65075969696045,10.768003463745117,10.957115173339844,10.973091125488281,11.025385856628418,4.024048089981079
6,0.519562743099125,2.975395578811743,0.007350626179760804,3.1436611989704977,3.416223869710222,1.3164422512054443,4.386435508728027,7.779141426086426,10.434789657592773,11.828886985778809,12.031514167785645,12.042215347290039,12.05164623260498,3.977078914642334
6,0.5055070097365173,4.828200586731013,0.0071674149501694765,3.4544930586041396,2.731880282239085,1.2437336444854736,3.9578945636749268,6.678011894226074,8.517485618591309,9.310006141662598,9.514752388000488,9.65082836151123,9.832199096679688,3.683789014816284
6,0.4640519658493955,3.241605616878347,0.009728726105016022,2.4926957161013084,2.7092731764531126,1.2377805709838867,4.073166370391846,7.16820764541626,9.53834342956543,10.789154052734375,10.951086044311523,10.960941314697266,10.969305038452148,2.964869260787964
6,0.572487858760895,2.91217957577954,0.015079606037714775,3.3222348799367336,3.3922386613724647,1.3149774074554443,4.34306526184082,7.566977500915527,9.971405029296875,11.181869506835938,11.463361740112305,11.511548042297363,11.586190223693848,4.019038677215576
6,0.48398346255631053,2.5480022326884413,0.004593664760564497,2.575277235791525,3.5248038113593125,1.2980105876922607,4.374829292297363,7.968758583068848,10.992339134216309,12.878547668457031,13.136786460876465,13.144452095031738,13.151151657104492,3.358778476715088
