n,eta,sigma_y,width,height,x_01,x_02,x_03,x_04,x_05,x_06,x_07,x_08,cluster_id,cluster_conf
0.81304342,8.41783142,42.56851196,2.09791017,2.00850987,0.77345967,2.01593947,2.75232434,3.08749986,3.26271176,3.36587405,3.42790055,3.47910476,67,0.9990856820883577
0.7223703173744449,21.65722329868337,233.8232485267508,2.5,5.2,0.54896784,1.3764367,1.9402614,2.1838017,2.2799997,2.3268561,2.3602057,2.388801,67,0.9999999999997309
0.5000171672996576,39.06235845824855,82.20248024292802,2.1,2.2,0.61402917,1.5862589,2.1360965,2.3321877,2.413704,2.4675107,2.5170093,2.5624723,67,0.8367586614664309
0.3463683771607912,83.3145420292948,72.79607430526225,2.3,2.5,0.5998304,1.5657368,2.1444712,2.3395739,2.412374,2.4663749,2.5129905,2.5534096,67,0.9999849859228885
0.3026859556206952,148.70890560517822,319.41853686617884,4.3,3.8,0.5315497,1.3511364,2.003989,2.3436806,2.4452045,2.4833772,2.5175183,2.5489032,67,0.999999930650729
0.4540283548974287,51.94932535080909,75.1737709243057,3.2,2.6,0.75931597,2.2297924,3.339409,3.8439534,4.001195,4.065998,4.111932,4.1520567,67,0.9999999982789364
0.437156880265186,78.63618265375425,395.5999458375672,3.7,4.0,0.5000224,1.1719351,1.656589,1.8731647,1.9344583,1.9649625,1.9920015,2.015967,67,0.9999999987337513
0.3112115334422926,87.07555477974161,156.010470198165,2.8,5.4,0.64300585,1.7275977,2.5297399,2.8615007,2.9659472,3.0099583,3.0436335,3.0749826,67,0.9999999991253417
0.3131466603838239,137.8802698349217,204.4691787166344,4.1,3.2,0.58460927,1.6294074,2.482771,2.9126253,3.0245767,3.0643888,3.1003509,3.1335158,67,0.999998509667284
0.3933545120268698,46.605947200189895,151.83148848385977,2.2,6.4,0.6080017,1.5984316,2.2363572,2.4769464,2.5674596,2.6106362,2.6432748,2.6730733,67,0.999999906782359
0.5173900967671735,56.290314239057295,271.18804482772384,3.0,6.3,0.5328636,1.3014226,1.860877,2.1076803,2.197791,2.2465153,2.2868748,2.3224363,67,0.9999999790167473
0.3111828128915194,133.82007351407512,378.8093079855498,4.3,4.4,0.5271554,1.299768,1.9107208,2.2207956,2.3068771,2.3357053,2.3627286,2.3869138,67,0.9999999999327763
0.4139208772993202,79.25354356463015,291.75204933789206,3.6,6.0,0.5937786,1.5309672,2.2822104,2.6549177,2.7664137,2.8070202,2.8389359,2.868887,67,0.9999999992099499
0.5293355613265501,58.6109984865428,371.4165779970286,4.2,3.2,0.5210333,1.3591175,2.0262518,2.3720474,2.483253,2.5193276,2.5476255,2.5731335,67,0.9999999059273735
0.618696224670045,32.88047247414006,166.1835739780067,3.3,2.9,0.6697912,1.8796353,2.7727618,3.1788416,3.3229065,3.3897777,3.4375148,3.4794455,67,0.9999999928396512
0.4725341995831987,48.622733436004616,163.95660198971535,3.1,4.2,0.70166445,1.9488192,2.905702,3.357822,3.526289,3.5980778,3.6419587,3.6798763,67,0.9999053283113383
0.4460483866936977,48.31247296836548,199.607270871528,2.3,6.3,0.5270109,1.3164291,1.8117361,1.9794369,2.031354,2.0633583,2.0902872,2.1143293,67,0.6807581589822748
0.57139906696196,44.92698912857036,151.4190468135129,3.6,2.5,0.64098716,1.8417139,2.7405696,3.1513395,3.2936792,3.364789,3.4196386,3.467987,67,0.9999888706384652
0.322832159215512,143.12842938543668,370.3483662324795,4.5,4.7,0.53082323,1.312635,1.9391966,2.2816582,2.4019418,2.4484878,2.487114,2.5219798,67,0.9400030453837253
0.6070998666029261,38.20241643993127,190.01886782440715,3.4,2.5,0.60548496,1.6871362,2.47509,2.8158574,2.929963,2.987249,3.0312705,3.0709448,67,0.999999999999913
0.3777893142791291,66.72544332719717,34.53265851689231,2.9,2.4,0.76802874,2.2299144,3.2887256,3.729964,3.8619883,3.9192336,3.9632308,4.004427,67,0.9999999978919241
0.6207972912381508,32.55758398114719,266.19064881359475,3.0,4.0,0.5701885,1.4595699,2.0985866,2.3718882,2.4571085,2.4924283,2.5196714,2.5428848,67,0.9999999761592183
0.4514204613714351,62.24181516225738,211.5863344829957,2.8,3.3,0.5496175,1.3998272,1.9735701,2.188896,2.2547605,2.2951581,2.3303692,2.3612573,67,0.9999999963967914
0.3139818304130263,122.55325784235995,239.7810879654149,3.6,3.1,0.54678774,1.4368987,2.1107564,2.396082,2.454646,2.4845724,2.513112,2.5388336,67,0.9999986286302109
0.7964574072699031,19.978131794197573,276.4714399294759,2.7,4.7,0.52437544,1.2795315,1.8073492,2.04355,2.1331491,2.173963,2.2034526,2.2276645,67,0.9999999999991647
0.3621881236654406,96.79577713791016,350.4718216260187,3.7,3.8,0.52396894,1.2850487,1.8532674,2.101703,2.1557853,2.1802437,2.2038286,2.224765,67,0.9999548575724597
0.3546632505652165,96.96631483322034,164.5535237724483,2.8,3.9,0.5674832,1.4577887,2.0771306,2.31767,2.398927,2.4503334,2.4946249,2.5343764,67,0.9999999968048372
0.6022555995585376,21.680354779704984,6.391125966909428,2.9,2.1,0.8851409,2.6042168,3.8325412,4.383692,4.594741,4.699851,4.776743,4.84354,67,0.9999951577445614
