n,eta,sigma_y,width,height,x_01,x_02,x_03,x_04,x_05,x_06,x_07,x_08,cluster_id,cluster_conf
0.8921402314892031,254.306390139274,81.69813050360655,6.7,2.9,0.2464149,0.38675928,0.56606936,0.7334106,0.8984659,1.05842,1.2118173,1.360157,36,0.9999999999998863
0.8792317254135011,249.96850700285253,274.49515910436395,6.2,2.8,0.207834,0.29828143,0.4298079,0.54606056,0.66184664,0.7759867,0.88540936,0.9916644,36,0.9999969298978019
0.8958225375885123,258.5697370321902,56.66642337124155,6.9,3.3,0.28158998,0.43803763,0.63781786,0.8237312,1.0087183,1.1847847,1.3543417,1.5173166,36,0.9999961828599013
0.8446520622223965,296.2076125777699,73.96237725764342,5.2,2.5,0.1965766,0.3049054,0.43623257,0.56155133,0.6817734,0.8012214,0.9161937,1.0269804,36,0.9999999999996074
0.8114187851594818,250.1715693450925,176.94982670472336,5.0,2.1,0.15894818,0.2583692,0.36580324,0.47453332,0.5780101,0.67834044,0.77604294,0.8702321,36,1.0
0.9680450832998622,250.42439524266769,258.29097166974685,6.9,2.3,0.16910052,0.22550368,0.32447505,0.41902995,0.5099213,0.60347605,0.69551444,0.7858751,36,1.0
0.9656981055947392,248.641020810742,268.47390199386786,6.8,2.8,0.1991067,0.2799523,0.40464354,0.5182049,0.63287044,0.7452526,0.8537302,0.960588,36,1.0
0.9798658714359456,268.3631270486068,69.85175981033125,2.9,2.0,0.11050677,0.19423008,0.26624322,0.33857512,0.41127634,0.4829688,0.55093575,0.6176295,36,0.9997586489837451
0.9590927788330316,216.0960594767991,297.32418202771214,6.5,2.6,0.18977928,0.28154016,0.4090457,0.52348995,0.63729286,0.75076413,0.86009717,0.96677566,36,1.0
0.8201445547443429,248.99239028389945,216.403693442306,6.8,2.5,0.19970179,0.31778264,0.46057415,0.5938945,0.7260003,0.85508275,0.980212,1.1017787,36,1.0
0.925368252795926,265.8404017140929,194.0191608565597,5.7,2.6,0.18825912,0.27648592,0.40046024,0.50882435,0.616559,0.72616005,0.83127093,0.93390155,36,1.0
0.764057639889509,255.4684498512643,385.1076107296591,6.2,2.1,0.1469543,0.19407463,0.27154756,0.34466314,0.41426516,0.48388672,0.55227065,0.6192639,36,0.981803033640602
0.9521738299695948,265.4062352273965,262.2688474144392,5.6,2.6,0.17743134,0.24875498,0.35743284,0.44947886,0.5411687,0.6364856,0.7283709,0.8178525,36,1.0
0.8757734222081877,271.15268290595577,11.850977747566072,6.0,2.8,0.24046588,0.38065886,0.5605047,0.72461367,0.88520694,1.0422204,1.1921687,1.3364754,36,0.999999999296227
0.8474967227997239,273.3620258955368,149.1295121238982,6.8,3.0,0.24027824,0.3642485,0.52639866,0.6783216,0.8299558,0.975826,1.116282,1.2527738,36,0.9999999999985718
0.8913554031484063,241.9151333943093,312.9272687103903,6.8,2.2,0.1618278,0.22262335,0.31723595,0.4074738,0.49576664,0.5850043,0.67234826,0.75855017,36,1.0
0.854887891068377,260.96201912541585,169.30988583635994,4.8,2.2,0.16062784,0.25384498,0.3562479,0.46230412,0.5612571,0.6575701,0.75114846,0.8422892,36,0.9999999999992291
0.9699915432543972,290.8870710028361,245.8099385880227,5.3,2.7,0.18047428,0.24429655,0.3445754,0.43011785,0.51578426,0.6072614,0.6943641,0.77806735,36,0.9999999921177141
0.8660517137993946,284.55854606380177,19.49580984744133,6.9,2.3,0.18028307,0.29956865,0.4403336,0.57584023,0.70847154,0.8412564,0.97078085,1.0973868,36,1.0
0.9806838717982012,275.1008096050445,362.6404695363381,5.6,2.5,0.1785717,0.20247102,0.2875843,0.3553512,0.42192268,0.49429297,0.56504583,0.6338713,36,0.9821321162761627
0.959544398838344,257.856932442724,154.65222623975515,6.7,2.5,0.18582702,0.28142858,0.4131353,0.53402877,0.65257215,0.7728121,0.88935304,1.0033312,36,1.0
0.8808050827157032,231.8084837119125,65.12287264900695,4.6,2.2,0.1857152,0.3119936,0.4489901,0.58484936,0.713361,0.8376286,0.957041,1.0710847,36,0.9999997395078657
0.8878725769999085,284.49781685698184,382.77886311079874,6.6,2.5,0.17996311,0.2055409,0.29323316,0.36675596,0.44016027,0.5167153,0.5915594,0.663584,36,0.9999999999351523
0.7536140163213586,273.5181472998743,318.15117198624154,6.8,2.1,0.14965749,0.21035123,0.2971697,0.38026714,0.4616859,0.5431309,0.6229689,0.7016401,36,1.0
0.822195977111186,278.1216851495986,268.02095462854527,6.9,2.2,0.16197634,0.22534442,0.32062054,0.41184568,0.5011928,0.5913565,0.6796737,0.76696205,36,1.0
