n,eta,sigma_y,width,height,x_01,x_02,x_03,x_04,x_05,x_06,x_07,x_08,cluster_id,cluster_conf
0.67805022,6.17938185,20.77033615,6.56389856,5.1829958,1.29504204,4.3987937,7.49447393,9.79309845,11.13731956,11.77811432,12.14141655,12.5077076,88,0.999547633570883
0.6074835677079179,9.68418743422604,97.73009991331288,6.4,6.2,1.1360545,4.065929,7.158874,9.709509,11.323505,12.002308,12.201736,12.290386,88,0.999990412174917
0.38712528,6.31129694,5.69124985,2.32138109,3.94595623,1.28342295,4.15129328,7.5030899,10.36588192,12.10100842,13.14279652,13.45029926,13.46037674,88,0.7862546844518266
0.39981654,19.58435059,16.50477028,6.40342474,6.15824556,1.28484392,4.55993843,8.15763378,11.27492714,13.12422752,14.06641197,14.41431046,14.54399872,88,0.9997304961739303
0.37246636,14.9132185,2.43401408,6.40244865,4.91468477,1.364851,4.66699409,8.25300026,11.10410309,12.86566925,13.91927338,14.22413254,14.41168785,88,0.9999998496415767
0.79032731,3.9762876,39.98803711,6.57340765,6.4242959,1.26165438,4.44486475,7.80791616,10.48900986,12.17457199,12.99388695,13.36217308,13.62125969,88,0.9999999999618678
0.38177398,11.68898582,47.96861267,6.77072191,4.50695896,1.27757549,4.30885029,7.47884655,9.99625874,11.45917416,11.95235348,12.08051968,12.28800488,88,0.9988382319523349
0.37420851,19.83192825,1.12706506,6.44241095,5.20576191,1.33080673,4.59753513,8.10009098,10.92113304,12.59606934,13.34596634,13.63775826,13.92835045,88,0.9999999999999982
0.68899798,6.42216635,23.62182617,6.52287245,6.36658192,1.27714825,4.50584221,7.92134762,10.6571579,12.37134743,13.19094467,13.56337357,13.82726288,88,0.9999999999111706
0.35706741,13.26077461,1.1494112,5.73034954,3.72913051,1.35583544,4.40040827,7.52394533,9.85365868,11.12121201,11.67461586,11.95253181,12.33836174,88,0.9999158463210095
0.6021714178200763,12.939667776972469,38.32425766044398,6.4,6.7,1.1951084,4.2455883,7.443383,9.989371,11.53225,12.217023,12.495564,12.68382,88,1.0
0.72715926,4.55362415,13.56479263,5.03190136,5.96975279,1.31723547,4.51293802,7.79506445,10.46967697,12.16348457,12.97993279,13.31586647,13.51782799,88,0.9999999999993774
0.43152779,19.65866661,48.98538589,5.62836504,6.17755175,1.19834948,4.25977898,7.50912666,10.26264477,12.02705193,12.74713326,12.92030525,12.98814011,88,0.976512851073449
0.54172349,2.10421038,32.47759628,5.84108829,3.89741659,1.36651325,4.51578426,7.89894867,10.61766529,12.2296629,13.10191631,13.40649891,13.441535,88,0.9999999999998552
0.88350016,0.12190445,27.53985977,3.05268764,2.86060071,1.30177379,4.08173561,7.11622429,9.46326447,10.76924133,11.37787247,11.57191086,11.57359886,88,0.9893215585100144
0.30805105,11.68095684,24.26334572,4.84420967,4.26671886,1.34299994,4.47619104,7.87721395,10.73238945,12.47640228,13.41376686,13.61707687,13.63537216,88,0.9987038614814966
0.53420401,11.63287926,1.0694896,6.81404209,5.84844542,1.32488108,4.63090372,8.14615631,10.9712162,12.64514732,13.42830086,13.84482384,14.20809174,88,0.9999999999652649
