n,eta,sigma_y,width,height,x_01,x_02,x_03,x_04,x_05,x_06,x_07,x_08,cluster_id,cluster_conf
0.6316924941539559,143.53548242713103,201.19043642958644,2.3,2.1,0.18919444,0.30117106,0.40257978,0.4902215,0.5684118,0.6388056,0.70206046,0.76029086,93,0.9999999488568343
0.5107980898035351,255.85274962407584,154.41825585882788,2.6,5.0,0.22987509,0.3569169,0.47002983,0.56916285,0.6552229,0.73612213,0.8101163,0.8793678,93,0.9999999999871854
0.9920643416958412,130.59235198289838,379.0867674611527,2.7,6.6,0.18590832,0.24706602,0.33614254,0.40619326,0.46941376,0.52663136,0.57991886,0.62961483,93,0.9999999851512609
0.7197907650416581,161.61150031433465,232.89319018766324,2.7,4.9,0.24151373,0.3874135,0.51833296,0.6350179,0.737669,0.8315854,0.91672564,0.9947481,93,0.6305033076643608
0.5910989751240129,209.39012172579416,375.5846021235182,5.0,4.0,0.3470931,0.57260895,0.74605846,0.9070525,1.0527658,1.1850886,1.3050389,1.4151516,93,0.9999984991653728
0.5921037360120811,264.9471578483483,356.89427087739404,4.6,5.0,0.33644056,0.4766407,0.5985532,0.7218585,0.83611774,0.940331,1.0386486,1.1311002,93,0.9999996594507714
0.861050537509578,120.26516612442666,303.9181969284534,2.6,4.3,0.2102108,0.321311,0.43020058,0.5218129,0.6039667,0.6789613,0.74769735,0.81045055,93,0.9999999999992593
0.9019219199092112,111.19497442344384,385.4073484042746,3.8,5.4,0.3314643,0.51693916,0.674737,0.82128,0.9545288,1.0741477,1.1826291,1.2809439,93,0.9999999297903901
0.5313174123871237,289.43735286302376,208.2312445331291,4.1,6.3,0.3591714,0.5675912,0.7346411,0.892581,1.0351706,1.1662383,1.2863045,1.3974404,93,0.999999999146004
0.4784524620883345,275.41691469581366,136.2006973284666,2.8,5.4,0.25969076,0.41285992,0.5428386,0.65653944,0.75776863,0.8497534,0.9337535,1.0108218,93,0.9975476656743025
0.5998800891264817,253.54060280482145,294.044813785825,3.7,5.8,0.30814314,0.44132185,0.55879736,0.6667695,0.7713351,0.86483335,0.95194244,1.03334,93,0.999999990432082
0.7538362009852428,177.58368864193972,308.0553291059795,2.7,4.9,0.20081186,0.28371525,0.37571383,0.45493507,0.5209503,0.5857835,0.64340925,0.69877815,93,0.999999968538194
0.6866262366752257,195.8904423072603,270.63488345649813,2.4,2.8,0.15160489,0.2140286,0.27828693,0.33501554,0.38842535,0.43797064,0.48344088,0.52669764,93,0.9997452690157423
0.5726408150624631,295.2795454034971,288.2868053208115,2.9,2.9,0.16128635,0.20574927,0.26299477,0.31795406,0.36407518,0.40920806,0.4516027,0.4917519,93,0.998044587698174
0.7347354491554567,172.8538794884083,368.2194890856078,3.6,5.1,0.29639006,0.42730427,0.5435238,0.64766407,0.74720526,0.83700705,0.9208417,0.99811983,93,0.9974924793836146
0.4276674822215741,287.4962626310605,313.8870312717325,5.1,2.9,0.28731656,0.501039,0.6555023,0.7944038,0.92072344,1.0348113,1.1383371,1.232521,93,0.9800700602093412
0.4112338904023007,287.99563468628054,27.97047639756198,2.2,4.5,0.23393536,0.38742208,0.51502323,0.6235919,0.722198,0.8110962,0.8917446,0.9645667,93,0.9269172815464873
0.6863524201351412,196.17028653342348,371.2862698585956,3.1,2.3,0.15022254,0.20601201,0.26287508,0.31945515,0.37051535,0.4172988,0.4614036,0.5028508,93,0.7883094193202694
0.5770600178825945,296.279040386894,331.029073698814,3.5,2.9,0.18856835,0.23745465,0.30886197,0.37066507,0.42279673,0.47527146,0.52504945,0.5720072,93,0.8521372086827735
0.6520193192016328,194.4427932153283,288.1041123778474,3.2,6.4,0.28230667,0.42638826,0.5501628,0.6634278,0.76794004,0.8614273,0.94664764,1.0248761,93,0.999671544584996
0.5253974034985393,264.49320760733946,310.8452104807314,3.8,3.5,0.27453494,0.38716388,0.4904034,0.58512425,0.67382884,0.7556951,0.8307092,0.9007294,93,0.99668066591739
0.8005471446570991,117.4297174649176,248.64606653539155,2.1,3.1,0.17219305,0.25994372,0.34507346,0.41833472,0.485106,0.5456493,0.600847,0.651253,93,0.9999999999993392
0.5024611530604017,259.2433642851133,351.53451925094583,4.0,2.7,0.230088,0.32612848,0.41874766,0.5009315,0.5752711,0.6445143,0.7092824,0.7697103,93,0.9999720105585983
0.8380764889691892,122.86926938760368,302.6887216430613,2.3,2.7,0.1582079,0.23028779,0.30305386,0.36590195,0.4232397,0.47654128,0.52463865,0.569093,93,0.9999999999979892
0.7629393125503151,146.22115779148973,270.48955990733134,2.7,4.5,0.2320242,0.36090183,0.4810524,0.5867834,0.679152,0.7645693,0.8425646,0.91445446,93,0.9999999995273576
0.4999771422852102,284.2420700284377,289.8902928029389,4.5,3.7,0.32056022,0.49705482,0.637244,0.7671964,0.8866508,0.9962151,1.0970218,1.1901352,93,0.999999999989333
0.5084100140858787,293.9253575744843,248.17697243031063,3.5,3.5,0.2563479,0.3568275,0.4596541,0.5521562,0.63584447,0.7140553,0.78617454,0.8543446,93,0.9999999999962839
0.9586532107940744,109.13679714155244,354.04167636721945,2.6,2.9,0.17066717,0.24866748,0.32843924,0.40117025,0.46718884,0.52632546,0.5809481,0.6309891,93,0.9999995745464981
0.5575777254111203,252.953922011518,298.25434543969146,3.7,4.4,0.30328035,0.438138,0.5536375,0.6577802,0.75776625,0.84922934,0.9340439,1.0126219,93,0.9808168251726997
0.51698124429,252.0515402000464,133.8672148347547,3.0,5.5,0.29275417,0.48413038,0.6420717,0.78212214,0.9081774,1.0212569,1.1235056,1.2163649,93,0.9702732515679795
0.5057465340384995,299.567159720207,178.97676037198923,2.5,3.4,0.17875266,0.24430466,0.3188131,0.38648462,0.44531107,0.5010834,0.55315113,0.60176325,93,0.9999999302948435
0.6707774215545563,198.7443004696848,386.9004828294224,4.2,4.5,0.32386303,0.4696331,0.59555006,0.71446085,0.8257351,0.9273343,1.0217495,1.1094313,93,0.9999999999990408
0.5056048246425692,236.39357344866727,143.23966424364366,2.8,2.3,0.21596837,0.34809208,0.46664548,0.5708058,0.66396713,0.7479055,0.82432866,0.8943286,93,0.9374442740781562
0.6406786707043418,251.5200050032281,258.1042777647536,2.7,5.0,0.1895957,0.25666046,0.34100676,0.41353273,0.4711194,0.53094816,0.5833373,0.6352315,93,0.9999229031300956
0.6863524201351412,196.17028653342348,371.2862698585956,4.1,5.3,0.331707,0.48391008,0.61302185,0.7369895,0.85263014,0.956933,1.0532956,1.1429491,93,0.9999999996922124
0.5047382154408301,298.8899007074285,303.44201478267377,5.4,5.9,0.38263512,0.6411648,0.84610415,1.0342102,1.1993828,1.3507056,1.4888563,1.6168065,93,0.876837458732616
0.5023885712621384,288.06805435899287,314.5111396897684,4.7,3.8,0.32028937,0.48849893,0.6228502,0.74893117,0.8649695,0.97187734,1.0705631,1.1620953,93,0.9999999999986979
0.5823961416903709,253.96595681489052,365.4411850977356,4.5,4.3,0.3208742,0.4586854,0.57725716,0.6907854,0.79753494,0.8949599,0.9857273,1.0707417,93,0.999999999962986
0.5616861535298368,294.03421471543186,229.1454656815432,2.4,2.7,0.13257933,0.18041992,0.22763681,0.26982045,0.31125307,0.35019922,0.38576984,0.4204743,93,0.9584175900980306
0.4402446821819161,264.8359273554668,19.442461023290747,2.1,3.8,0.22499204,0.37296128,0.5008328,0.61248803,0.7112882,0.80048347,0.8818295,0.9559982,93,0.9812219090900102
0.5648045901001636,245.8255230523084,266.2322754986393,3.1,3.9,0.24276757,0.34140372,0.44164824,0.53031135,0.6091454,0.6817591,0.7494471,0.81296563,93,0.9859611382290239
0.6244539028089957,235.50491113928425,228.74471825869543,2.4,3.3,0.16068196,0.22452617,0.29129505,0.35454917,0.41131377,0.46336794,0.5121827,0.5584476,93,0.6621596433361214
0.4900882139779528,289.54744071820784,389.061203656721,5.9,5.2,0.36575556,0.61454725,0.801074,0.9717226,1.1216378,1.2587714,1.3853531,1.5034103,93,0.9999999992292041
0.7595138281136989,196.17079855739075,240.7963009312292,2.0,5.8,0.13246202,0.17658186,0.2338872,0.28383303,0.33048058,0.3719406,0.41026402,0.44725943,93,0.7906555602657468
0.5123473645615272,264.34154294796593,395.86340299951377,4.6,3.1,0.2621417,0.3778963,0.4760697,0.5654352,0.65279055,0.73383236,0.80901885,0.8792424,93,0.999999999970079
0.5796246150295763,239.6482719584912,377.8507887679182,4.6,4.8,0.3441534,0.51170015,0.64247274,0.77163553,0.8891978,0.996223,1.0953493,1.1874237,93,0.9961975926276736
0.5390170422615677,293.1649747639364,222.4508596236682,2.5,2.9,0.15310216,0.2058506,0.26149726,0.3155341,0.36522174,0.40978265,0.452554,0.4926362,93,0.9999610938891033
0.4925610921046202,248.6434097006457,386.370873451866,4.5,2.7,0.24226761,0.36654544,0.46656704,0.5593059,0.644753,0.7233486,0.7959199,0.8634584,93,0.9999997498388542
0.6399709726456309,218.4901814782465,209.7576526267873,2.5,5.1,0.19829035,0.29792786,0.3970914,0.4836812,0.55735207,0.62863016,0.6943917,0.7560363,93,0.9999233942021263
0.646112641505101,196.03422359438804,272.4183473788542,3.6,4.3,0.3140211,0.4913168,0.6415949,0.77880764,0.9049244,1.0191989,1.1226206,1.2173524,93,0.9999999866501934
0.5392522183374826,241.61675016980487,185.0224110882405,2.1,3.9,0.15658069,0.21342874,0.2777884,0.33569694,0.3857782,0.43227172,0.47554755,0.5165236,93,0.9999988435701058
0.9778790321937614,98.00048000787032,367.5964867544151,3.0,3.6,0.22795558,0.3410902,0.45831847,0.5582807,0.6474669,0.7293346,0.80340505,0.8711183,93,0.9999999994919726
0.5220978348464317,242.87494531650103,369.4145814852771,4.6,3.3,0.2950933,0.45767164,0.58371997,0.69998145,0.8073976,0.9062836,0.99685836,1.080385,93,0.9999922107111843
0.5308941686734916,266.2455043262931,356.98978763720646,3.4,2.2,0.15396428,0.2016499,0.25224185,0.30402255,0.3499751,0.39301682,0.43346357,0.47171593,93,0.9999413054067859
0.6553903812728747,232.77558311207207,232.78714117322616,2.2,3.7,0.14425397,0.19590831,0.25309324,0.30817008,0.354748,0.399132,0.44103312,0.48070073,93,0.9620518332844984
0.8441075881326694,121.71347373897642,329.149390605885,3.2,5.7,0.28974771,0.45696688,0.6010785,0.7306495,0.8482013,0.95346355,1.048439,1.1345057,93,0.9994781551459786
0.8964203672620497,130.7796685761511,345.1465944836622,2.5,3.4,0.16937613,0.23646712,0.31069922,0.37844515,0.43742657,0.49224257,0.5425825,0.589164,93,0.9999999999561879
0.6577441875571706,204.9195312226265,360.2436188255993,4.7,6.3,0.3713255,0.57914686,0.75175667,0.91828537,1.06598,1.201807,1.3256292,1.4394517,93,0.9999919845945245
0.6383524191194176,178.97863472698145,351.9377946987365,3.6,2.9,0.24967194,0.37379003,0.48913622,0.59111905,0.6824753,0.7659545,0.84230494,0.91267705,93,0.9999996492564229
0.6145498122053934,275.0511718488158,363.42013869648446,4.3,5.2,0.31425524,0.4148035,0.51427364,0.6115637,0.7088318,0.793478,0.8740158,0.95098495,93,0.9999995873669884
